Date,nth day in year,Storage (mcft),Inflow (cusecs),Rainfall (mm),Outflow (cusecs)
01/01/2020,0,68,0,3,12
02/01/2020,1,69,23,47,12
03/01/2020,2,69,12,0,12
04/01/2020,3,69,0,0,0
05/01/2020,4,69,0,1,0
06/01/2020,5,70,12,4,0
07/01/2020,6,71,12,4,0
08/01/2020,7,72,12,0,0
09/01/2020,8,72,0,0,0
10/01/2020,9,72,0,0,0
11/01/2020,10,72,0,0,0
12/01/2020,11,72,0,0,0
13/01/2020,12,72,0,0,0
14/01/2020,13,72,0,0,0
15/01/2020,14,72,0,0,0
16/01/2020,15,72,0,0,0
17/01/2020,16,72,0,0,0
18/01/2020,17,72,0,3,0
19/01/2020,18,72,0,0,0
20/01/2020,19,72,0,0,0
21/01/2020,20,72,0,0,0
22/01/2020,21,72,0,0,0
23/01/2020,22,72,0,0,0
24/01/2020,23,72,0,0,0
25/01/2020,24,72,0,0,0
26/01/2020,25,72,0,0,0
27/01/2020,26,72,0,0,0
28/01/2020,27,72,0,0,0
29/01/2020,28,72,0,0,0
30/01/2020,29,72,0,0,0
31/01/2020,30,72,0,0,0
01/02/2020,31,72,0,0,0
02/02/2020,32,72,0,0,0
03/02/2020,33,72,0,0,0
04/02/2020,34,72,0,0,0
05/02/2020,35,72,0,0,0
06/02/2020,36,72,0,0,0
07/02/2020,37,72,0,0,0
08/02/2020,38,72,0,0,0
09/02/2020,39,72,0,0,0
10/02/2020,40,72,0,0,0
11/02/2020,41,72,0,0,0
12/02/2020,42,72,0,0,0
13/02/2020,43,72,0,0,0
14/02/2020,44,72,0,0,0
15/02/2020,45,72,0,0,0
16/02/2020,46,72,0,0,0
17/02/2020,47,72,0,0,0
18/02/2020,48,72,0,0,0
19/02/2020,49,72,0,0,0
20/02/2020,50,72,0,0,0
21/02/2020,51,72,0,0,0
22/02/2020,52,72,0,0,0
23/02/2020,53,72,0,0,0
24/02/2020,54,72,0,0,0
25/02/2020,55,72,0,0,0
26/02/2020,56,72,0,0,0
27/02/2020,57,72,0,0,0
28/02/2020,58,72,0,0,0
29/02/2020,59,72,0,0,0
01/03/2020,60,72,0,0,0
02/03/2020,61,72,0,0,0
03/03/2020,62,72,0,0,0
04/03/2020,63,72,0,0,0
05/03/2020,64,72,0,0,0
06/03/2020,65,72,0,0,0
07/03/2020,66,72,0,0,0
08/03/2020,67,72,0,0,0
09/03/2020,68,72,0,0,0
10/03/2020,69,72,0,0,0
11/03/2020,70,72,0,0,0
12/03/2020,71,72,0,0,0
13/03/2020,72,72,0,0,0
14/03/2020,73,72,0,0,0
15/03/2020,74,72,0,0,0
16/03/2020,75,72,0,0,0
17/03/2020,76,72,0,0,0
18/03/2020,77,72,0,0,0
19/03/2020,78,72,0,0,0
20/03/2020,79,-1,-1,-1,-1
21/03/2020,80,72,0,0,0
22/03/2020,81,72,0,0,0
23/03/2020,82,72,0,0,0
24/03/2020,83,72,0,0,0
25/03/2020,84,72,0,0,0
26/03/2020,85,72,0,0,0
27/03/2020,86,72,0,0,0
28/03/2020,87,72,0,0,0
29/03/2020,88,72,0,0,0
30/03/2020,89,72,0,0,0
31/03/2020,90,72,0,0,0
01/04/2020,91,72,0,0,0
02/04/2020,92,72,0,0,0
03/04/2020,93,72,0,0,0
04/04/2020,94,72,0,0,0
05/04/2020,95,72,0,0,0
06/04/2020,96,72,0,0,0
07/04/2020,97,72,0,0,0
08/04/2020,98,72,0,0,0
09/04/2020,99,72,0,0,0
10/04/2020,100,72,0,5,0
11/04/2020,101,72,0,0,0
12/04/2020,102,72,0,0,0
13/04/2020,103,72,0,0,0
14/04/2020,104,72,0,0,0
15/04/2020,105,72,0,0,0
16/04/2020,106,72,0,0,0
17/04/2020,107,72,0,0,0
18/04/2020,108,72,0,0,0
19/04/2020,109,72,0,0,0
20/04/2020,110,72,0,0,0
21/04/2020,111,72,0,0,0
22/04/2020,112,72,0,0,0
23/04/2020,113,72,0,0,0
24/04/2020,114,72,0,0,0
25/04/2020,115,72,0,0,0
26/04/2020,116,72,0,18,0
27/04/2020,117,72,0,0,0
28/04/2020,118,72,0,0,0
29/04/2020,119,72,0,0,0
30/04/2020,120,72,0,0,0
01/05/2020,121,72,0,0,0
02/05/2020,122,72,0,0,0
03/05/2020,123,72,0,0,0
04/05/2020,124,72,0,0,0
05/05/2020,125,72,0,0,0
06/05/2020,126,72,0,0,0
07/05/2020,127,72,0,0,0
08/05/2020,128,72,0,0,0
09/05/2020,129,72,0,0,0
10/05/2020,130,72,0,0,0
11/05/2020,131,72,0,0,0
12/05/2020,132,72,0,0,0
13/05/2020,133,72,0,0,0
14/05/2020,134,72,0,0,0
15/05/2020,135,72,0,0,0
16/05/2020,136,72,0,0,0
17/05/2020,137,72,0,0,0
18/05/2020,138,72,0,0,0
19/05/2020,139,72,0,0,0
20/05/2020,140,72,0,0,0
21/05/2020,141,72,0,0,0
22/05/2020,142,72,0,0,0
23/05/2020,143,72,0,0,0
24/05/2020,144,72,0,0,0
25/05/2020,145,72,0,0,0
26/05/2020,146,72,0,0,0
27/05/2020,147,72,0,0,0
28/05/2020,148,72,0,0,0
29/05/2020,149,72,0,0,0
30/05/2020,150,72,0,0,0
31/05/2020,151,72,0,0,0
01/06/2020,152,72,0,0,0
02/06/2020,153,72,0,2,0
03/06/2020,154,72,0,0,0
04/06/2020,155,72,0,0,0
05/06/2020,156,72,0,0,0
06/06/2020,157,72,0,0,0
07/06/2020,158,92,0,0,0
08/06/2020,159,72,0,0,0
09/06/2020,160,72,0,0,0
10/06/2020,161,72,0,0,0
11/06/2020,162,72,0,1,0
12/06/2020,163,72,0,2,0
13/06/2020,164,72,0,0,0
14/06/2020,165,72,0,0,0
15/06/2020,166,72,0,0,0
16/06/2020,167,72,0,0,0
17/06/2020,168,72,0,0,0
18/06/2020,169,72,0,0,0
19/06/2020,170,72,0,0,0
20/06/2020,171,72,0,1,0
21/06/2020,172,72,0,2,0
22/06/2020,173,72,0,2,0
23/06/2020,174,72,0,0,0
24/06/2020,175,72,0,0,0
25/06/2020,176,72,0,0,0
26/06/2020,177,72,0,0,0
27/06/2020,178,72,0,0,0
28/06/2020,179,72,0,2,0
29/06/2020,180,72,0,0,0
30/06/2020,181,72,0,0,0
01/07/2020,182,72,0,0,0
02/07/2020,183,72,0,3,0
03/07/2020,184,72,0,0,0
04/07/2020,185,72,0,3,0
05/07/2020,186,72,0,0,0
06/07/2020,187,72,0,0,0
07/07/2020,188,72,0,0,0
08/07/2020,189,72,0,0,0
09/07/2020,190,72,0,0,0
10/07/2020,191,72,0,4,0
11/07/2020,192,72,0,0,0
12/07/2020,193,72,0,0,0
13/07/2020,194,72,0,55,0
14/07/2020,195,72,0,0,0
15/07/2020,196,72,0,0,0
16/07/2020,197,72,0,5,0
17/07/2020,198,72,0,5,0
18/07/2020,199,72,0,0,0
19/07/2020,200,72,0,2,0
20/07/2020,201,71,0,0,0
21/07/2020,202,71,0,0,0
22/07/2020,203,71,0,0,0
23/07/2020,204,71,0,0,0
24/07/2020,205,71,0,6,0
25/07/2020,206,71,0,0,0
26/07/2020,207,71,0,0,0
27/07/2020,208,71,0,0,0
28/07/2020,209,71,0,0,0
29/07/2020,210,71,0,8,0
30/07/2020,211,71,0,4,0
31/07/2020,212,71,0,0,0
01/08/2020,213,77,69,45,0
02/08/2020,214,79,23,5,0
03/08/2020,215,87,92,24,0
04/08/2020,216,88,12,0,0
05/08/2020,217,89,12,3,0
06/08/2020,218,90,12,0,0
07/08/2020,219,91,12,0,0
08/08/2020,220,91,0,0,0
09/08/2020,221,96,57,50,0
10/08/2020,222,96,0,0,0
11/08/2020,223,96,0,0,0
12/08/2020,224,96,0,22,0
13/08/2020,225,96,0,0,0
14/08/2020,226,96,0,5,0
15/08/2020,227,96,0,0,0
16/08/2020,228,96,0,0,0
17/08/2020,229,96,0,0,0
18/08/2020,230,96,0,0,0
19/08/2020,231,96,0,0,0
20/08/2020,232,95,0,0,0
21/08/2020,233,95,0,0,0
22/08/2020,234,95,0,0,0
23/08/2020,235,95,0,0,0
24/08/2020,236,95,0,0,0
25/08/2020,237,94,0,0,0
26/08/2020,238,94,0,0,0
27/08/2020,239,94,0,0,0
28/08/2020,240,94,0,0,0
29/08/2020,241,94,0,0,0
30/08/2020,242,94,0,0,0
31/08/2020,243,94,0,0,0
01/09/2020,244,94,0,0,0
02/09/2020,245,93,0,0,0
03/09/2020,246,93,0,0,0
04/09/2020,247,93,0,0,0
05/09/2020,248,92,0,0,0
06/09/2020,249,92,0,0,0
07/09/2020,250,92,0,0,0
08/09/2020,251,92,0,20,0
09/09/2020,252,92,0,0,0
10/09/2020,253,92,0,0,0
11/09/2020,254,92,0,0,0
12/09/2020,255,92,0,0,0
13/09/2020,256,92,0,2,0
14/09/2020,257,92,0,20,0
15/09/2020,258,92,0,4,0
16/09/2020,259,92,0,0,0
17/09/2020,260,92,0,0,0
18/09/2020,261,92,0,0,0
19/09/2020,262,92,0,65,0
20/09/2020,263,96,46,0,0
21/09/2020,264,100,46,0,0
22/09/2020,265,102,23,0,0
23/09/2020,266,102,0,0,0
24/09/2020,267,104,23,0,0
25/09/2020,268,106,23,0,0
26/09/2020,269,108,23,20,0
27/09/2020,270,108,0,0,0
28/09/2020,271,108,0,0,0
29/09/2020,272,108,0,0,0
30/09/2020,273,112,46,42,0
01/10/2020,274,112,0,4,0
02/10/2020,275,112,0,0,0
03/10/2020,276,112,0,0,0
04/10/2020,277,111,0,0,0
05/10/2020,278,111,0,0,0
06/10/2020,279,111,0,0,0
07/10/2020,280,110,0,0,0
08/10/2020,281,110,0,0,0
09/10/2020,282,110,0,0,0
10/10/2020,283,110,0,0,0
11/10/2020,284,109,0,0,0
12/10/2020,285,109,0,0,0
13/10/2020,286,109,0,4,0
14/10/2020,287,109,0,0,0
15/10/2020,288,109,0,0,0
16/10/2020,289,108,0,0,0
17/10/2020,290,108,0,0,0
18/10/2020,291,108,0,0,0
19/10/2020,292,108,0,20,0
20/10/2020,293,108,0,0,0
21/10/2020,294,108,0,22,0
22/10/2020,295,108,0,0,0
23/10/2020,296,110,23,26,0
24/10/2020,297,112,23,4,0
25/10/2020,298,114,23,0,0
26/10/2020,299,116,23,0,0
27/10/2020,300,118,23,0,0
28/10/2020,301,118,0,0,0
29/10/2020,302,128,116,55,0
30/10/2020,303,136,92,40,0
31/10/2020,304,138,23,0,0
01/11/2020,305,138,0,0,0
02/11/2020,306,138,0,0,0
03/11/2020,307,138,0,0,0
04/11/2020,308,138,0,0,0
05/11/2020,309,138,0,3,0
06/11/2020,310,138,0,0,0
07/11/2020,311,138,0,4,0
08/11/2020,312,138,0,10,0
09/11/2020,313,138,0,0,0
10/11/2020,314,138,0,0,0
11/11/2020,315,138,0,0,0
12/11/2020,316,138,0,0,0
13/11/2020,317,140,23,10,0
14/11/2020,318,140,0,4,0
15/11/2020,319,141,12,14,0
16/11/2020,320,142,12,15,0
17/11/2020,321,155,150,38,0
18/11/2020,322,164,104,4,0
19/11/2020,323,170,69,0,0
20/11/2020,324,173,34,0,0
21/11/2020,325,175,23,0,0
22/11/2020,326,175,0,0,0
23/11/2020,327,175,0,0,0
24/11/2020,328,178,34,4,0
25/11/2020,329,186,92,87,0
26/11/2020,330,244,671,159,0
27/11/2020,331,310,764,10,0
28/11/2020,332,361,590,0,0
29/11/2020,333,403,486,0,0
30/11/2020,334,465,659,13,0
01/12/2020,335,504,451,0,0
02/12/2020,336,547,497,0,0
03/12/2020,337,590,497,24,0
04/12/2020,338,-1,-1,-1,-1
05/12/2020,339,-1,-1,-1,-1
06/12/2020,340,-1,-1,-1,-1
07/12/2020,341,-1,-1,-1,-1
08/12/2020,342,-1,-1,-1,-1
09/12/2020,343,-1,-1,-1,-1
10/12/2020,344,-1,-1,-1,-1
11/12/2020,345,-1,-1,-1,-1
12/12/2020,346,-1,-1,-1,-1
13/12/2020,347,-1,-1,-1,-1
14/12/2020,348,-1,-1,-1,-1
15/12/2020,349,-1,-1,-1,-1
16/12/2020,350,-1,-1,-1,-1
17/12/2020,351,-1,-1,-1,-1
18/12/2020,352,-1,-1,-1,-1
19/12/2020,353,-1,-1,-1,-1
20/12/2020,354,-1,-1,-1,-1
21/12/2020,355,-1,-1,-1,-1
22/12/2020,356,-1,-1,-1,-1
23/12/2020,357,-1,-1,-1,-1
24/12/2020,358,-1,-1,-1,-1
25/12/2020,359,-1,-1,-1,-1
26/12/2020,360,-1,-1,-1,-1
27/12/2020,361,-1,-1,-1,-1
28/12/2020,362,-1,-1,-1,-1
29/12/2020,363,-1,-1,-1,-1
30/12/2020,364,-1,-1,-1,-1
31/12/2020,365,-1,-1,-1,-1